file,case,algorithm,repeat,number,mean_sec,stdev_sec,best_sec
article1.txt,exists,Boyer-Moore,7,5,0.004041404862489019,1.4530953871808258e-05,0.004024917026981711
article1.txt,absent,Boyer-Moore,7,5,0.0057075535878539085,8.490570969666613e-05,0.005645958008244634
article1.txt,exists,KMP,7,5,0.00333914889155754,2.8623034983846854e-06,0.003335000015795231
article1.txt,absent,KMP,7,5,0.006542285970811333,6.14422758598012e-05,0.006492083892226219
article1.txt,exists,Rabin-Karp,7,5,0.006264595348121864,9.92540061405032e-05,0.006096125114709139
article1.txt,absent,Rabin-Karp,7,5,0.012225922596241747,0.00010531166219078904,0.012089500203728676
article2.txt,exists,Boyer-Moore,7,5,0.007564476159002099,0.00013667693628003047,0.00740412506274879
article2.txt,absent,Boyer-Moore,7,5,0.011796845089910286,9.140299741597565e-05,0.011696332832798362
article2.txt,exists,KMP,7,5,0.005587964285431164,4.569567354650134e-05,0.005519333062693477
article2.txt,absent,KMP,7,5,0.010515124670096807,9.699477954377991e-05,0.010422708000987768
article2.txt,exists,Rabin-Karp,7,5,0.008930351319057601,1.754938114350371e-05,0.00891437497921288
article2.txt,absent,Rabin-Karp,7,5,0.017396499901743873,2.778768545308866e-05,0.017353415954858065
